station,longitude,latitude
58720000,-43.248,-21.355
58730001,-43.053,-21.356
58735000,-42.862,-21.309
58755000,-43.127,-21.476
58765001,-42.830,-21.471
58770000,-42.696,-21.391
58795000,-41.984,-21.628
58825000,-42.571,-22.218
58827000,-42.416,-22.158
58850000,-41.938,-21.770
58870000,-41.954,-21.729
58874000,-41.859,-21.644
58910000,-42.514,-21.051
58916000,-42.302,-20.773
58917000,-42.349,-20.911
58920000,-42.214,-21.152
58930000,-42.023,-20.739
58940000,-41.892,-21.207
58960000,-41.618,-21.490
58974000,-41.300,-21.753
59120000,-42.463,-22.372
59125000,-42.379,-22.369
59135000,-42.322,-22.402
59240000,-42.736,-22.587
59355000,-44.617,-22.736
59370000,-44.560,-22.960
59380000,-44.762,-23.223
60010000,-46.556,-18.836
60011000,-46.539,-18.602
60040000,-47.692,-18.112
60100000,-46.973,-18.892
60110000,-47.406,-18.492
60130000,-47.409,-18.781
60145000,-47.458,-18.977
60150000,-47.690,-18.739
60220000,-47.017,-20.013
60250000,-46.571,-19.518
60265000,-46.542,-19.475
60381000,-48.191,-18.989
60432000,-48.805,-16.297
60615000,-48.781,-18.698
60635000,-49.495,-16.346
60640000,-49.280,-16.613
60642000,-49.243,-16.632
60650000,-49.198,-16.681
60653000,-48.898,-16.458
60654000,-49.105,-16.914
60665000,-49.277,-17.254
60680000,-49.601,-18.349
60715000,-49.689,-17.108
60750000,-50.290,-17.080
60765000,-50.188,-17.732
60772000,-50.247,-17.980
60774000,-51.075,-17.359
60778000,-50.771,-17.333
60781000,-50.683,-17.327
60785005,-50.776,-17.464
60790000,-50.557,-17.541
60798000,-50.333,-17.968
60810000,-50.033,-18.104
60845000,-49.451,-18.942
60850000,-49.179,-19.361
60855000,-49.698,-19.036
60870000,-50.528,-18.498
60895000,-51.390,-17.861
60910000,-52.603,-17.579
60925001,-50.667,-19.219
60930000,-52.532,-18.406
60940000,-52.097,-18.516
60950000,-51.149,-19.101
60970000,-51.534,-19.140
61009000,-44.195,-21.947
61012000,-44.327,-21.492
61014000,-44.637,-22.170
61024000,-44.602,-21.980
61031000,-44.466,-21.998
61045000,-44.355,-21.745
61052000,-44.306,-21.738
61060000,-44.351,-21.689
61075000,-44.915,-21.506
61078000,-44.871,-21.322
61085000,-43.814,-21.278
61090000,-43.979,-21.186
61100000,-43.964,-21.428
61105000,-44.137,-21.165
61107000,-44.234,-21.124
61115000,-44.213,-21.054
61122000,-44.330,-21.196
61135000,-44.737,-21.139
61173000,-45.172,-21.342
61267000,-45.287,-22.508
61271000,-45.425,-22.446
61295000,-45.621,-22.470
61460000,-45.078,-21.889
61473000,-44.880,-21.952
61500000,-45.262,-21.871
61510000,-45.248,-21.704
61520000,-45.259,-21.678
61537000,-45.489,-21.612
61610000,-46.361,-21.278
61700000,-46.807,-20.809
61770000,-47.013,-21.136
61800500,-46.309,-22.004
61815000,-46.704,-21.294
61826000,-46.962,-21.420
61830000,-47.477,-21.319
61861000,-46.323,-22.318
61865000,-46.608,-22.273
61879000,-46.648,-22.522
61886000,-47.134,-22.299
61902000,-47.474,-21.846
61912000,-48.041,-21.517
61915000,-48.176,-21.018
62395000,-47.058,-23.150
62600000,-46.633,-22.882
62615000,-46.987,-22.709
62625000,-46.781,-22.708
62665000,-46.365,-23.052
62670000,-46.557,-23.104
62760130,-47.902,-22.166
63350100,-52.901,-20.445
63900001,-53.718,-20.441
63955000,-53.053,-21.608
64065000,-48.109,-23.625
64360000,-49.958,-23.767
64362000,-50.163,-23.342
64380000,-50.391,-23.850
64382000,-50.448,-23.399
64442800,-50.525,-25.200
64447000,-50.390,-24.947
64465000,-50.409,-24.508
64501000,-50.923,-23.637
64507000,-50.984,-23.251
64508500,-50.788,-23.173
64550000,-52.079,-22.857
64613000,-54.422,-21.641
64617000,-53.531,-22.383
64620000,-50.943,-25.205
64625000,-51.143,-24.828
64645000,-51.425,-24.341
64652000,-51.482,-24.106
64655000,-51.622,-24.042
64659000,-51.947,-24.016
64673000,-52.194,-23.825
64675002,-52.117,-23.674
64682000,-52.606,-23.443
64685000,-52.665,-23.324
64693000,-53.316,-23.199
64715001,-54.563,-22.971
64771500,-52.763,-24.867
64773000,-52.309,-24.728
64775000,-52.703,-24.749
64785000,-52.902,-24.554
64795000,-53.128,-24.558
64799500,-53.161,-24.378
64810000,-53.134,-23.919
64815000,-53.324,-24.133
64820000,-53.327,-24.204
64830000,-53.746,-24.188
64843000,-54.283,-24.076
65010000,-49.145,-25.519
65015400,-49.229,-25.590
65025000,-49.513,-25.606
65027000,-49.584,-25.580
65094500,-49.626,-26.200
65095000,-49.603,-26.216
65135000,-49.393,-25.934
65136550,-49.526,-25.856
65220000,-50.590,-26.022
65310000,-51.078,-26.228
65365000,-51.219,-26.177
65925000,-52.295,-26.278
65945000,-52.801,-26.051
65948000,-53.020,-26.153
65960000,-52.927,-25.769
65979000,-53.519,-25.435
66260001,-56.108,-15.617
67100000,-57.892,-21.699
70100000,-49.802,-28.369
70200000,-50.302,-28.439
70300000,-50.060,-28.091
70500000,-50.443,-28.161
71200000,-49.778,-27.803
71250000,-49.629,-27.828
71300000,-49.839,-27.702
71383000,-50.391,-27.485
71498000,-50.754,-27.334
71550000,-50.861,-27.539
72430000,-51.753,-27.878
72630000,-51.886,-27.707
72680000,-51.858,-27.562
72715000,-51.076,-26.896
72810000,-51.258,-27.088
